,0
R_EX_sl__L_e,True
R_EX_thyox__L_e,True
R_EX_tmndnc_e,True
R_EX_so4_e,False
R_EX_his__L_e,False
R_EX_spc_hs_e,True
R_EX_sph1p_e,True
R_EX_sphs1p_e,True
R_EX_srtn_e,True
R_EX_tolbutamide_e,True
R_EX_tre_e,True
R_EX_triodthy_e,True
R_EX_triodthysuf_e,True
R_EX_trp__L_e,False
R_EX_strch1_e,True
R_EX_strch2_e,True
R_EX_hista_e,True
R_EX_strdnc_e,True
R_EX_succ_e,True
R_EX_tststerone_e,True
R_EX_tststeroneglc_e,True
R_EX_sucr_e,True
R_EX_tststerones_e,True
R_EX_hom__L_e,True
R_EX_tsul_e,True
R_EX_tag_hs_e,True
R_EX_hpdca_e,True
R_EX_tag__D_e,True
R_EX_ttdca_e,True
R_EX_txa2_e,True
R_EX_taur_e,True
R_EX_hspg_e,True
R_EX_taxol_e,True
R_EX_tchola_e,True
R_EX_tymsf_e,True
R_EX_tyr__L_e,True
R_EX_udp_e,True
R_EX_tcynt_e,True
R_EX_tdchola_e,True
R_EX_htaxol_e,True
R_EX_tethex3_e,True
R_EX_ump_e,True
R_EX_ura_e,True
R_EX_hxan_e,True
R_EX_tetpent3_e,True
R_EX_tetpent6_e,True
R_EX_tettet6_e,True
R_EX_thf_e,True
R_EX_thm_e,True
R_EX_urate_e,True
R_EX_urea_e,True
R_EX_uri_e,True
R_EX_utp_e,True
R_EX_thmmp_e,True
R_EX_i_e,False
R_EX_thmtp_e,True
R_EX_vacc_e,True
R_EX_val__L_e,False
R_EX_vitd2_e,True
R_EX_thr__L_e,False
R_EX_idp_e,True
R_EX_thym_e,True
R_EX_vitd3_e,True
R_EX_whddca_e,True
R_EX_ile__L_e,False
R_EX_whhdca_e,True
R_EX_whtststerone_e,True
R_EX_whttdca_e,True
R_EX_imp_e,True
R_EX_xolest2_hs_e,True
R_EX_inost_e,True
R_EX_xolest_hs_e,True
R_EX_xoltri24_e,True
R_2HBt2,False
R_EX_ins_e,True
R_EX_xoltri25_e,True
R_2HCO3_NAt,False
R_EX_xoltri27_e,True
R_EX_k_e,False
R_EX_xyl__D_e,True
R_2MCITt,False
R_EX_ksi_e,True
R_2OXOADOXm,True
R_EX_xylt_e,True
R_EX_yvite_e,True
R_SK_citr__L_c,False
R_SK_pre_prot_r,False
R_2OXOADPTm,False
R_34DHOXPEGt,False
R_34DHPHAMT,True
R_10FTHF5GLUtl,True
R_10FTHF5GLUtm,True
R_EX_ksi_deg1_e,True
R_10FTHF6GLUtl,True
R_34DHALDD,True
R_EX_ksii_core2_e,True
